Open,Closed,Highest,lowest,Trading volume
156.71,157.96,158.23,153.27,1154671
158.15,159.48,160.71,156.32,706626
159.67,166.02,166.48,159.26,873681
163.85,156.77,164.08,154.95,1164746
156.01,157.28,159.44,154.18,1023008
154.925,152.06,155.83,151.49,1103707
155.52,154.51,156.74,152.93,988257
153.5,146.5,155.45,145.81,1310796
142.77,142.56,146.2,138.8,1678454
144.59,147.11,148.105,143.11,920506
145.55,145.54,147.5199,144.18,699719
148.86,149.24,149.77,146.68,609263
146.85,140.82,147.3601,139.9,982288
139.88,137.35,141.66,136.6,1219746
139.09,137.59,140.7,132.61,1133362
137.79,143.11,143.26,137.65,851032
140.805,140.36,141.97,137.33,812515
138.43,140.52,141.785,138.34,688316
137.39,143.78,144.34,137.14,670652
145.39,149.64,149.68,145.26,686376
149.07,148.84,150.66,146.84,706652
149.9,148.71,151.74,147.68,629251
147.83,151.21,151.27,146.86,574552
146.9,145.38,147.97,144.46,761195
147.03,146.14,148.5689,144.9,605199
144.345,148.71,149,144.1,527360
148.58,147.96,149.8697,147.46,430174
147.08,142.64,147.95,142.53,558178
140.28,137.13,140.76,137.06,826197
132.87,131.88,135.2,131.44,1019929
133.13,132.76,133.89,131.48,674981
134.29,135.43,137.34,132.16,733275
132.08,130.06,132.39,129.04,909222
130.065,131.56,133.079,129.81,744035
133.42,135.87,137.06,133.32,604547
134.79,135.35,137.76,133.91,530526
136.82,138.27,138.59,135.63,554898
139.9,141.66,141.91,139.77,542278
142.695,141.66,143.49,140.965,516175
142.13,137.44,143.422,137.325,546240
137.46,139.23,140.67,136.67,572553
137.25,136.72,138.37,133.7737,710706
136.04,138.93,139.04,135.66,558680
137.77,141.56,141.61,136.93,601960
141.355,142.92,144.12,141.08,585624
143.29,146.35,146.55,143.28,539961
145.265,147.04,147.55,145,520274
145.67,144.87,146.64,143.78,496267
145.76,145.86,148.45,145.05,579531
142.99,145.49,146.45,142.1201,559357
144.08,148.47,148.95,143.25,614951
149.78,150.17,150.86,148.2,550061
150.74,147.07,151.57,146.7,620449
147.92,151,151.23,146.91,576469
151.12,153.04,153.72,150.37,523491
154.5,155.35,155.57,151.94,522802
155.39,154.09,156.28,153.41,527310
154.01,152.95,155.04,152.28,487391
152.265,151.6,153.085,150.8,472001
152.58,156.79,157.33,152.16,579181
156.98,157.35,157.64,154.41,738631
161.24,162.51,163.63,159.5,773742
161.01,161.51,163.59,160.89,594290
160.1,160.01,162.41,159.63,543549
160.84,166.13,166.59,160.75,682781
166.005,165.81,167.19,164.43,525012
163.21,165.35,165.85,163,491310
166.37,164.87,167.81,164.2,540017
164.02,164.92,165.82,163.25,480552
167.68,169.24,169.34,166.9,559789
170.06,168.49,170.99,168.19,507914
169.82,172.1,172.17,169.4,557624
171.52,173.19,173.39,171.345,501625
172.78,173.03,173.71,171.6618,515134
172.77,174.55,176.15,172.57,686577
173.75,174.15,174.9,173.12,545655
173.03,171.52,173.74,171.3101,573126
169.69,167.57,169.86,167.135,620800
167.08,167.23,168.71,166.65,494686
167.32,167.53,168.11,166.245,476970
168.78,170.03,170.14,168.35,465398
170.57,163.62,171.05,163.56,722008
161.145,161.38,162.9,159.82,640593
162.13,158.91,162.56,157.72,644671
160.305,157.22,160.58,157.14,606827
156.64,157.96,158.42,154.67,654667
159.75,155.81,160.362,154.965,646414
156.47,154.53,157.09,153.69,687436
154.825,155.96,156.67,153.61,696954
154.64,154.46,156.36,152.68,697264
155.47,157.37,157.82,154.75,532851
159.59,163.43,164.26,159.3,801512
159.9,153.84,160.54,153.37,1018108
154.785,155.31,157.1,153.6106,716065
154.65,152.37,155.24,151.38,741143
151.21,150.7,151.35,148.37,850351
149.31,154.48,154.56,149.1,671956
153.4,156.9,158.08,153.08,792170
157.34,153.72,158.74,153.6,785023
152.38,152.74,154.47,150.91,686879
151.19,150.43,151.47,148.56,766882
149.66,150.77,153.7701,149.64,747666
152.74,151.76,154.72,149.945,683776
147.64,149.84,150.6414,144.84,1142717
146.1,142.48,146.72,140.68,1067281
141.28,138.2,143.1,138,947003
138.21,142.45,143.07,137.685,838786
145.03,146.1,146.22,144.26,687504
144.075,146.4,147.38,143.01,605861
145.81,145.43,147.54,145.22,538671
142.54,140.09,143.1,139.445,666459
140.42,140.42,141.89,138.5729,620863
139.9,138.98,141.35,138.22,608882
139.13,138.34,140.36,138.16,553185
134.99,142.99,143.59,134.37,874139
144.31,138.38,144.52,138.19,689680
141.065,142.41,142.9,140.27,634583
145.49,143.75,146.7,140.61,785416
141.69,143.86,144.9492,141.5,511348
143.02,143.39,145.89,142.65,517760
142.87,147.27,147.8479,142.649,621571
147.185,149.45,150.23,146,653020
150.09,152.34,152.49,149.36,581421
150.96,149.35,151.99,148.04,694793
148.07,144.8,149.046,144.13,944053
148.2,155.74,157.5,147.82,1228075
153.155,153.34,154.24,151.92,726843
155.08,150.65,155.45,149.13,650595
148.945,145.03,152.17,145,788400
142.06,138.88,142.8,138.75,871800
142.09,138.38,142.67,134.38,1161631
137.11,138.92,139.145,135.671,715005
140.41,139.5,141.43,137.49,637312
138.5,134.87,138.55,134.5933,632982
141.24,146.87,146.87,139.5,875048
145.82,149.7,150.01,144.37,742241
148.97,148.28,150.28,147.43,576289
152.215,150.04,153.59,148.5613,703669
149.13,148.79,149.87,147.29,472247
146.43,150.72,151.48,146.15,563714
152.305,151.29,152.7,149.97,514103
150.16,148.01,150.37,147.715,504777
148.13,150.18,150.42,146.925,405185
149.45,151.07,151.83,149.34,444423
148.305,148.11,148.88,147.12,319570
145.14,144.22,146.64,143.38,614357
144.29,141.17,144.81,140.355,713280
141.395,148.03,148.72,140.55,707647
148.21,148.31,149.13,146.61,525985
145.96,147.81,148,145.65,464550
