Open,Closed,Highest,lowest,Timestamp,Trading volume
51.65,53.21,53.23,51.6,1641186000000,183323
53.57,53.14,53.935,52.65,1641272400000,256414
54.188,53.87,56.17,53.83,1641358800000,370687
54.61,54.01,54.67,53.415,1641445200000,219175
54.19,53.44,54.39,53.15,1641531600000,188302
53.97,55.21,55.31,53.31,1641790800000,313008
55.5,55.91,56.08,54.73,1641877200000,262754
56.1363,55.74,56.28,54.81,1641963600000,202663
56,54.94,56.21,54.77,1642050000000,206077
54.85,55.7,55.77,54.53,1642136400000,184734
55.31,54.76,55.65,54.68,1642482000000,209044
54.63,53.62,54.85,53.56,1642568400000,187518
53.86,52.04,54.085,51.94,1642654800000,202767
52.08,52.04,53.1299,51.95,1642741200000,309617
51.48,51.94,52.1291,49.88,1643000400000,432242
51.01,51,51.62,50.25,1643086800000,297932
51.13,51.69,52.72,50.75,1643173200000,374100
49.98,48.05,50.06,47.78,1643259600000,649662
47.71,47.73,48.2,46.3,1643346000000,434645
47.68,48.82,48.87,47.305,1643605200000,269399
48.775,48.95,49.03,48.36,1643691600000,237086
48.245,49.51,49.58,48.09,1643778000000,234407
49.25,48.28,49.685,48.25,1643864400000,243889
47.86,48.01,48.2399,47.13,1643950800000,208013
48.13,48.18,48.66,47.96,1644210000000,159211
47.98,48.81,48.94,47.9,1644296400000,153031
49.33,49.91,49.97,48.825,1644382800000,186859
49.18,48.86,49.9325,48.76,1644469200000,220012
48.95,47.63,49.11,47.5,1644555600000,239885
47.92,47.58,48.1772,47.1101,1644814800000,198138
47.7,48.44,48.46,47.19,1644901200000,199492
48.06,48.23,48.49,47.6,1644987600000,190886
47.86,47.57,48.26,47.38,1645074000000,196114
46.19,45.04,46.21,44.51,1645160400000,505174
44.69,44.69,45.405,43.8501,1645506000000,342170
45.17,44.65,45.71,44.5514,1645592400000,246378
43.9,46.72,46.79,43.625,1645678800000,445054
46.93,47.71,47.79,46.25,1645765200000,257043
47,47.7,47.82,46.85,1646024400000,243543
47.54,46.82,47.9,46.22,1646110800000,297641
47.52,48.87,48.99,47.48,1646197200000,281281
48.18,47.93,48.55,47.6236,1646283600000,245954
47.37,48.07,48.265,47.37,1646370000000,253728
48.005,47.68,48.54,47.6,1646629200000,262557
47.69,47.5,48.72,46.89,1646715600000,309634
48.41,47.63,48.46,46.885,1646802000000,228788
47.29,46.66,47.31,46.155,1646888400000,201585
