Open,Closed,Highest,lowest,Timestamp,Trading volume
298.15,301.21,307.11,297.85,1641186000000,585469
302.77,292.9,304.68,283.49,1641272400000,894297
289.49,276.04,294.16,275.33,1641358800000,836624
276.4,281.78,284.3799,270.65,1641445200000,725603
281.41,272.47,284.22,270.57,1641531600000,639610
265.81,274,274.69,256.4384,1641790800000,991811
273.225,278.17,280.65,268.39,1641877200000,572165
280.665,279.99,285.95,276.08,1641963600000,562208
283.79,265.75,284.8,264.98,1642050000000,845316
263,269.42,271.969,262.1001,1642136400000,620045
262.6,259.03,266.38,257.7,1642482000000,672210
260.79,250.67,265.4317,250.52,1642568400000,738208
253.04,241.5,255.7904,240.78,1642654800000,742834
235.07,233.74,248.23,232.63,1642741200000,1074672
223.3,233.72,233.8,208.88,1643000400000,1421722
225.46,223.24,229.43,220,1643086800000,990557
232.4,227.72,240.57,223,1643173200000,1068933
235.68,219.44,239.95,216.75,1643259600000,871286
220.1215,228.4,228.58,212.96,1643346000000,758751
231.82,244.86,245.09,230.52,1643605200000,754762
251.04,246.38,251.45,238.9001,1643691600000,699901
257.94,252.42,258.17,245.5301,1643778000000,787625
244.58,239.48,250.77,237.8,1643864400000,589412
239.72,243.19,246.35,236.32,1643950800000,488979
243.72,247.28,251.82,242.02,1644210000000,500319
243.59,251.08,252.3,239.8,1644296400000,573659
256.22,267.05,267.25,253.53,1644382800000,834600
259.95,258.24,269.2499,256,1644469200000,757005
259.16,239.49,261.52,237.73,1644555600000,876127
239.34,242.67,248.75,237.55,1644814800000,642000
249.49,264.95,265.45,247.84,1644901200000,938421
262.59,265.11,265.82,255.52,1644987600000,1135446
256.3,245.07,257.85,241.65,1645074000000,1119837
246.675,236.42,249.86,231,1645160400000,1038519
230.35,233.9,240.6399,230,1645506000000,831891
238.02,223.87,241.5499,223.01,1645592400000,806736
210.15,237.48,238,208.9,1645678800000,985716
237.21,241.57,242.17,233.81,1645765200000,709315
239.92,243.85,246.65,237.0701,1646024400000,590306
242.91,234.77,243.77,231.32,1646110800000,604807
237.56,242.2,244.09,234.15,1646197200000,516755
242.615,237.14,243.2599,234.69,1646283600000,501439
233.84,229.36,236.8,224.82,1646370000000,619723
228.17,213.52,230.33,213.3,1646629200000,701458
213.09,215.14,223.7299,206.5,1646715600000,722737
223.87,230.14,232.2,222.47,1646802000000,610239
225.31,226.58,227.88,218.82,1646888400000,568264
230.22,221,231.45,220.46,1646974800000,554584
218.69,213.3,222.62,211.5901,1647230400000,556360
215.18,229.73,230.38,213.2201,1647316800000,643180
235,244.96,245.97,231.72,1647403200000,796764
241.2,247.66,248.42,239.06,1647489600000,593846
247.99,264.53,265.6899,246.24,1647576000000,769519
265.07,267.34,271.5199,259.67,1647835200000,735243
267.27,265.24,272.38,260.72,1647921600000,726980
261.26,256.34,266.115,255.7501,1648008000000,648445
261.66,281.5,283.1999,259.07,1648094400000,1123832
278.86,276.92,283.58,272.71,1648180800000,756932
277.555,282.19,282.5,272.06,1648440000000,600917
286.945,286.56,289.46,279.8,1648526400000,687062
283.04,276.9,284.955,275.03,1648612800000,625543
277.82,272.86,282.48,272.7,1648699200000,650064
273.75,267.12,274.96,262.67,1648785600000,693982
267.28,273.6,275.58,266.13,1649044800000,499185
272.54,259.31,273.19,258.2,1649131200000,639993
