Open,Closed,Highest,lowest,Timestamp,Trading volume
382.5833,399.9267,400.3567,378.68,1641186000000,1162844
396.5167,383.1967,402.6667,374.35,1641272400000,1051467
382.2167,362.7067,390.1133,360.3367,1641358800000,811988
359,354.9,362.6667,340.1667,1641445200000,880974
360.1233,342.32,360.31,336.6667,1641531600000,823560
333.3333,352.7067,353.0333,326.6667,1641790800000,971558
351.2233,354.8,358.6167,346.2733,1641877200000,644108
359.6167,368.74,371.6133,357.53,1641963600000,761538
369.6883,343.8533,371.8667,342.1797,1642050000000,924351
339.96,349.87,350.6667,337.7929,1642136400000,710334
342.2017,343.5033,356.93,338.6867,1642482000000,662918
347.235,331.8833,351.5566,331.6667,1642568400000,828697
336.5767,332.09,347.22,331.3333,1642654800000,713219
332.1133,314.6333,334.85,313.5,1642741200000,1146456
301.5867,310,311.171,283.8233,1643000400000,1596990
304.7333,306.1333,317.0867,301.07,1643086800000,818776
317.4767,312.47,329.23,302,1643173200000,1099442
311.12,276.3667,311.7967,276.3333,1643259600000,1862674
277.1867,282.1167,285.8333,264.0033,1643346000000,1444816
290.9033,312.24,312.6633,287.35,1643605200000,1019004
311.7367,310.4167,314.5667,301.6667,1643691600000,756024
309.3933,301.8867,310.5,296.47,1643778000000,716349
294,297.0467,312.3333,293.5067,1643864400000,767219
299.0733,307.7733,312.1667,293.7233,1643950800000,683026
307.93,302.4467,315.9233,300.903,1644210000000,640681
301.8433,307.3333,308.7633,298.2667,1644296400000,513024
311.6667,310.6667,315.4233,306.6667,1644382800000,506985
302.79,301.5167,314.6033,298.9,1644469200000,689687
303.21,286.6667,305.32,283.5667,1644555600000,950953
287.19,291.92,299.6266,284.3833,1644814800000,696441
300,307.4767,307.6667,297.7925,1644901200000,595378
304.6833,307.7967,308.81,300.4033,1644987600000,475458
304.42,292.1167,306.1666,291.3667,1645074000000,639879
295.3333,285.66,295.6233,279.2033,1645160400000,750962
278.0433,273.8433,285.5779,267.0334,1645506000000,927740
276.81,254.68,278.4332,253.52,1645592400000,1234432
233.4633,266.9233,267.4933,233.3333,1645678800000,1313565
269.7433,269.9567,273.1667,260.8002,1645765200000,752019
271.67,290.1433,292.2867,271.5692,1646024400000,875783
289.8933,288.1233,296.6267,284.5933,1646110800000,673279
290.71,293.2967,295.4933,281.424,1646197200000,692957
292.9233,279.7633,295.4797,277.5334,1646283600000,646504
283.0333,279.43,285.2167,275.0536,1646370000000,598767
285.4333,268.1933,288.7133,268.19,1646629200000,699898
265.1767,274.8,283.33,260.7233,1646715600000,737835
279.8267,286.3233,286.8533,277.3367,1646802000000,546170
283.8167,279.4333,284.8167,270.12,1646888400000,571416
280.0657,265.1167,281.2673,264.59,1646974800000,749473
260.2033,255.4567,266.9,252.0133,1647230400000,783852
258.4233,267.2967,268.5233,252.19,1647316800000,620156
269.6667,280.0767,280.6667,267.42,1647403200000,751551
276.9967,290.5333,291.6667,275.2393,1647489600000,608930
291.4967,301.7967,302.6167,289.13,1647576000000,701623
304.9933,307.0533,314.2833,302.3633,1647835200000,746489
310,331.3267,332.62,307.25,1647921600000,940957
326.6467,333.0367,346.9,325.4667,1648008000000,1124233
336.5767,337.9733,341.4967,329.6,1648094400000,683996
336,336.88,340.6,332.44,1648180800000,592400
355.0333,363.9467,365.96,351.2,1648440000000,1109113
369.33,366.5233,371.59,357.7033,1648526400000,831058
363.7233,364.6633,371.3167,361.3333,1648612800000,597499
364.8567,359.2,367.7133,358.8803,1648699200000,509541
360.3833,361.53,364.9167,355.5467,1648785600000,549089
363.1267,381.8167,383.3033,357.51,1649044800000,859373
378.7667,363.7533,384.29,362.4333,1649131200000,859306
357.8233,348.5867,359.6667,342.5667,1649217600000,963152
350.7967,352.42,358.8633,340.5134,1649304000000,771753
347.7367,341.83,349.48,340.8117,1649390400000,582320
326.8,325.31,336.156,324.88,1649649600000,756593
332.5467,328.9833,340.3974,325.5334,1649736000000,615650
327.025,340.79,342.08,324.3657,1649822400000,521647
333.0967,328.3333,337.57,327.3967,1649908800000,580182
329.6767,334.7633,338.3067,324.47,1650254400000,544520
335.02,342.7167,344.98,331.775,1650340800000,527905
343.3333,325.7333,344.6667,325.0834,1650427200000,864906
358.2433,336.26,364.0733,332.1383,1650513600000,1119156
338.3033,335.0167,344.95,331.3334,1650600000000,691866
326.3233,332.6733,336.2067,325.1,1650859200000,719906
331.81,292.14,333.3333,291.6667,1650945600000,1570848
299.5267,293.8367,306,292.4533,1651032000000,913172
299.9933,292.5033,300,273.9,1651118400000,1367545
300.75,290.2533,311.4666,290,1651204800000,892714
286.9233,300.98,302.12,282.6767,1651464000000,786411
301.06,303.0833,308.0267,296.1967,1651550400000,607314
301.3133,317.54,318.5,295.0933,1651636800000,728806
313.07,291.0933,315.2,285.9,1651723200000,1016720
295.6667,288.55,296,281.035,1651809600000,790390
278.8167,262.37,281.8767,260.3833,1652068800000,1135040
273.1033,266.68,275.12,258.0833,1652155200000,894442
265,244.6667,269.9233,242.4,1652241600000,1144553
233.6667,242.6667,253.22,226.6667,1652328000000,1393017
257.8267,256.53,262.45,250.5217,1652414400000,864581
255.72,241.4567,256.5867,239.6962,1652673600000,844607
249.12,253.87,254.8267,242.95,1652760000000,728839
248.1733,236.6033,253.5,233.6033,1652846400000,888561
235.6667,236.4733,244.6667,231.37,1652932800000,822374
237.9967,221.3,240.5273,211,1653019200000,1688029
218.34,224.9667,226.6517,212.6867,1653278400000,885446
217.8433,209.3867,217.9733,206.8567,1653364800000,916173
207.95,219.6,223.1067,207.67,1653451200000,773480
220.4733,235.91,239.5566,217.8867,1653537600000,912913
241.0833,253.21,253.2667,240.177,1653624000000,780166
257.9467,252.7533,259.6,244.7433,1653969600000,869759
251.72,246.79,257.3267,243.64,1654056000000,663698
244.1567,258.3333,264.21,242.0667,1654142400000,762172
243.225,234.5167,247.7966,233.4178,1654228800000,1099909
244.3533,238.28,244.8667,234.35,1654488000000,751095
234,238.8867,239.9967,230.0933,1654574400000,641259
240.0867,241.8667,249.9633,239.1767,1654660800000,683898
249.34,239.7067,255.5466,239.3267,1654747200000,876379
235.1567,232.23,239.5,227.9133,1654833600000,974758
223.1667,215.7367,226.6333,214.6833,1655092800000,1042431
218.2867,220.89,226.33,211.7367,1655179200000,805382
220.9167,233,235.6633,218.15,1655265600000,894423
222.7367,213.1,225.1667,208.6933,1655352000000,979352
213.4333,216.76,220.9694,213.1967,1655438400000,673263
224.6033,237.0367,243.5774,224.3333,1655784000000,1004686
234.5033,236.0867,246.8333,233.8267,1655870400000,758537
237.905,235.07,239.3167,228.6367,1655956800000,795535
237.4683,245.7067,246.0667,236.0867,1656043200000,684994
249.3667,244.92,252.07,242.5655,1656302400000,681102
244.4833,232.6633,249.97,232.3433,1656388800000,777804
230.5,228.49,231.1733,222.2733,1656475200000,735896
224.51,224.4733,229.4567,218.8633,1656561600000,761005
227,227.2633,230.23,222.12,1656648000000,624916
223,233.0667,233.1467,216.1667,1656993600000,783238
230.78,231.7333,234.5633,227.1867,1657080000000,603510
233.92,244.5433,245.3617,232.21,1657166400000,699835
242.3333,250.7633,254.98,241.1614,1657252800000,825388
252.1033,234.3433,253.0633,233.6267,1657512000000,875138
236.8467,233.07,239.7733,228.3683,1657598400000,691927
225.5,237.04,242.06,225.0333,1657684800000,769778
234.8967,238.3133,238.6533,229.3333,1657771200000,600568
240,240.0667,243.6233,236.89,1657857600000,519685
244.9367,240.5467,250.5167,239.6033,1658116800000,642640
245,245.53,247.14,236.9767,1658203200000,623005
246.7833,247.5,250.6633,243.483,1658289600000,751731
255.1067,271.7067,273.2667,254.8667,1658376000000,1184822
276.22,272.2433,280.7867,270.7133,1658462400000,908548
272.2167,268.4333,274.1467,267.4,1658721600000,561058
266.5133,258.86,267.31,256.2633,1658808000000,551723
263.81,274.82,275.9256,261.79,1658894400000,671564
280.0667,280.9,283.3,272.8,1658980800000,700681
280.7,297.15,298.32,279.1,1659067200000,783953
301.275,297.2767,311.8782,295,1659326400000,1085383
294.0033,300.5867,307.8333,292.6667,1659412800000,808466
305,307.3967,309.55,301.15,1659499200000,746897
311,308.6333,313.6067,305,1659585600000,694806
302.67,288.17,304.6066,285.5447,1659672000000,1123821
295,290.4233,305.2,289.0854,1659931200000,925611
290.2933,283.3333,292.3967,279.3533,1660017600000,806269
297.0667,294.3567,297.51,283.37,1660104000000,888683
296.5133,286.63,298.2367,285.8333,1660190400000,726685
289.415,300.03,300.16,285.0333,1660276800000,676771
301.7867,309.32,313.1333,301.23,1660536000000,825109
311.6667,306.5633,314.6667,302.8833,1660622400000,805570
303.3967,303.9967,309.6567,300.0333,1660708800000,611535
306,302.87,306.5,301.8533,1660795200000,490140
299,296.6667,300.36,292.5,1660881600000,589024
291.9133,289.9133,292.4,286.2967,1661140800000,587357
291.4533,296.4533,298.8266,287.9233,1661227200000,576125
297.5633,297.0967,303.6467,296.5,1661313600000,594435
302.36,296.07,302.96,291.6,1661400000000,1041465
297.43,288.09,302,287.47,1661486400000,984029
282.83,284.82,287.74,280.7,1661745600000,693160
287.865,277.7,288.48,272.65,1661832000000,827145
280.62,275.61,281.25,271.81,1661918400000,756730
272.575,277.16,277.58,266.15,1662004800000,836023
281.065,270.21,282.35,269.08,1662091200000,760296
272.675,274.42,275.99,265.74,1662436800000,852786
273.1,283.7,283.84,272.27,1662523200000,717323
281.3,289.26,289.5,279.76,1662609600000,713364
291.67,299.68,299.85,291.245,1662696000000,781284
300.72,304.42,305.49,300.4,1662955200000,766855
292.9,292.13,297.3999,290.4,1663041600000,985167
292.24,302.61,306,291.64,1663128000000,951744
301.825,303.75,309.12,300.7247,1663214400000,855303
299.605,303.35,303.71,295.6005,1663300800000,757863
300.09,309.07,309.84,297.8,1663560000000,842284
306.91,308.73,313.33,305.58,1663646400000,819818
308.29,300.8,313.8,300.63,1663732800000,837929
299.86,288.59,301.29,285.82,1663819200000,1086009
283.09,275.33,284.5,272.82,1663905600000,1057060
271.83,276.01,284.09,270.31,1664164800000,909215
283.84,282.94,288.67,277.51,1664251200000,857133
283.08,287.81,289,277.57,1664337600000,739947
282.76,268.21,283.65,265.78,1664424000000,1125572
266.145,265.25,275.57,262.47,1664510400000,927855
254.5,242.4,255.16,241.01,1664769600000,1539826
250.52,249.44,257.5,242.01,1664856000000,1313284
245.01,240.81,246.6697,233.27,1664942400000,1172525
239.44,238.13,244.58,235.35,1665028800000,827247
233.935,223.07,234.5715,222.02,1665115200000,1245277
223.93,222.96,226.99,218.3582,1665374400000,890250
220.945,216.5,225.75,215,1665460800000,926043
215.33,217.24,219.2999,211.51,1665547200000,809804
208.3,221.72,222.99,206.22,1665633600000,1157759
224.01,204.99,226.26,204.16,1665720000000,1283326
210.04,219.35,221.86,209.45,1665979200000,954631
229.5,220.19,229.82,217.25,1666065600000,841837
219.8,222.04,222.93,217.78,1666152000000,864642
208.28,207.28,215.55,202,1666238400000,1546084
206.415,214.44,214.66,203.8,1666324800000,903060
205.82,211.25,213.5,198.5863,1666584000000,1305814
210.1,222.415,224.3498,210,1666670400000,1050829
219.4,224.64,230.6,218.2,1666756800000,922631
229.77,225.09,233.81,222.85,1666843200000,740944
225.4,228.52,228.86,216.35,1666929600000,794354
226.19,227.54,229.85,221.94,1667188800000,717881
234.05,227.82,237.3951,227.28,1667275200000,701489
226.04,214.98,227.8699,214.82,1667361600000,802301
211.36,215.31,221.2,210.14,1667448000000,644110
222.6,207.47,223.8,203.08,1667534400000,1202728
208.65,197.08,208.9,196.66,1667797200000,1347595
194.02,191.3,195.2,186.75,1667883600000,1540661
190.775,177.59,195.89,177.12,1667970000000,1575592
189.9,190.72,191,180.03,1668056400000,1406974
186,195.97,196.52,182.59,1668142800000,1168919
192.77,190.95,195.73,186.34,1668402000000,953196
195.88,194.42,200.8237,192.06,1668488400000,984207
191.51,186.92,192.57,185.66,1668574800000,812207
183.96,183.17,186.16,180.9,1668661200000,772735
185.05,180.19,185.19,176.55,1668747600000,944090
175.85,167.87,176.77,167.54,1669006800000,1251916
168.63,169.91,170.92,166.185,1669093200000,863694
173.57,183.2,183.62,172.5,1669179600000,1195367
185.06,182.86,185.2,180.63,1669352400000,584237
179.96,182.92,188.5,179,1669611600000,975432
184.99,180.83,186.38,178.75,1669698000000,883440
182.43,194.7,194.76,180.6301,1669784400000,983598
197.08,194.7,198.92,191.8,1669870800000,855149
191.78,194.86,196.25,191.11,1669957200000,833601
189.44,182.45,191.27,180.55,1670216400000,1142290
181.215,179.82,183.65,175.33,1670302800000,958145
175.03,174.04,179.38,172.218,1670389200000,968023
172.2,173.44,175.2,169.06,1670475600000,990873
173.84,179.05,182.5,173.36,1670562000000,1092808
176.1,167.82,177.37,167.52,1670821200000,1292531
